"longitude","latitude"
-58.3834983333,-34.6100833333
-58.3834983333,-34.6100833333
-58.3834033333,-34.6102833333
-58.383315,-34.6095883333
-58.38398,-34.60891
-58.3849433333,-34.6087516667
-58.3858183333,-34.60898
-58.3867116667,-34.60904
-58.3876233333,-34.60957
-58.3881616667,-34.6095633333
-58.38815,-34.6096283333
-58.3889716667,-34.609175
-58.3895,-34.609385
-58.3903483333,-34.6097716667
-58.3904716667,-34.6099333333
-58.3912083333,-34.6099766667
-58.3914966667,-34.6092583333
-58.3909916667,-34.6092466667
-58.390525,-34.6092666667
-58.3898283333,-34.6095933333
-58.3894683333,-34.6096216667
-58.3892883333,-34.6091033333
-58.389015,-34.6090916667
-58.388005,-34.6092083333
-58.387375,-34.6087716667
-58.3863916667,-34.6088233333
-58.3859483333,-34.6089616667
-58.3850633333,-34.6084016667
-58.3848783333,-34.6077383333
-58.384865,-34.6068333333
-58.384625,-34.6063316667
-58.384755,-34.6054166667
-58.3850583333,-34.6049533333
-58.3850366667,-34.604245
-58.3842233333,-34.6037566667
-58.3815283333,-34.602925
-58.3788333333,-34.6020933333
-58.3761366667,-34.6012616667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.374385,-34.6007216667
-58.38523,-34.60408
-58.38523,-34.60408
-58.38523,-34.60408
-58.3856866667,-34.6036133333
-58.3869166667,-34.6043066667
-58.3866583333,-34.6039383333
-58.38746,-34.6040033333
-58.38819,-34.6040516667
-58.38912,-34.6041466667
-58.3894,-34.6039733333
-58.38952,-34.6031133333
-58.3887633333,-34.602695
-58.38821,-34.6028566667
-58.387275,-34.6026916667
-58.3864883333,-34.6025166667
-58.3865783333,-34.6017716667
-58.3861766667,-34.601505
-58.3849516667,-34.6017016667
-58.3849966667,-34.6019483333
-58.385015,-34.6024883333
-58.3847633333,-34.60244
-58.3845533333,-34.6018783333
-58.3843483333,-34.6016283333
-58.3841083333,-34.6018683333
-58.3840616667,-34.601705
-58.3840616667,-34.601705
-58.38418,-34.6013166667
-58.38431,-34.6010083333
-58.3844033333,-34.6008866667
-58.3841166667,-34.6001933333
-58.3841666667,-34.59943
-58.38416,-34.599425
-58.3840816667,-34.599245
-58.3832716667,-34.598945
-58.3828833333,-34.59851
-58.379745,-34.599495
-58.3823,-34.5991833333
-58.38234,-34.59922
-58.381435,-34.599195
-58.38112,-34.5991316667
-58.3803966667,-34.5986716667
-58.3796733333,-34.5989633333
-58.37946,-34.59915
-58.3795433333,-34.5993016667
-58.37959,-34.5994516667
-58.37933,-34.5992983333
-58.3786583333,-34.5992483333
-58.3782283333,-34.599155
-58.3781783333,-34.5985166667
-58.3779066667,-34.5986466667
-58.3778466667,-34.5986716667
-58.3767133333,-34.5990533333
-58.3777383333,-34.599
-58.3778666667,-34.5992066667
-58.3781416667,-34.5988
-58.3776666667,-34.5986916667
-58.3784483333,-34.5986233333
-58.379485,-34.5974333333
-58.38151,-34.5956216667
-58.3835333333,-34.59381
-58.3855933333,-34.5919683333
-58.37789,-34.5982416667
-58.3768966667,-34.5985416667
-58.3762566667,-34.59844
-58.3766783333,-34.59884
-58.3769883333,-34.5983166667
-58.37535,-34.5982666667
-58.3755516667,-34.5988366667
-58.3762133333,-34.599075
-58.3768866667,-34.599315
-58.377245,-34.5994433333
-58.3736066667,-34.5991466667
-58.37023,-34.5996816667
-58.3769966667,-34.5964516667
-58.3786116667,-34.5942166667
-58.3776083333,-34.5976033333
-58.3776083333,-34.5976033333
-58.38173,-34.593435
-58.3761666667,-34.59902
-58.3760283333,-34.598585
-58.3754366667,-34.5986633333
-58.3752483333,-34.5993516667
-58.3754233333,-34.5998266667
-58.3754233333,-34.5998266667
-58.3752683333,-34.601015
-58.3754233333,-34.6014916667
-58.375235,-34.6020133333
-58.3752833333,-34.60286
-58.3753166667,-34.6031666667
-58.375375,-34.604045
-58.375375,-34.604045
-58.3751216667,-34.6048583333
-58.3751033333,-34.6058916667
-58.37604,-34.606935
-58.37658,-34.6076766667
-58.3771366667,-34.6084433333
-58.3730766667,-34.6090616667
-58.37648,-34.6044766667
-58.3745366667,-34.6056716667
-58.3746016667,-34.6077383333
-58.375615,-34.60619
-58.3765366667,-34.605545
-58.3750716667,-34.6056466667
-58.3750316667,-34.6052116667
-58.37516,-34.605205
-58.375195,-34.6049783333
-58.3757533333,-34.6043833333
-58.37667,-34.6042866667
-58.376655,-34.6036316667
-58.3767583333,-34.6030083333
-58.3767933333,-34.6025866667
-58.3765883333,-34.6027633333
-58.37683,-34.6040633333
-58.37733,-34.6029033333
-58.3780333333,-34.60184
-58.3787133333,-34.6008116667
-58.379395,-34.5997816667
-58.37986,-34.5990783333
-58.37986,-34.5990783333
-58.37986,-34.5990783333
-58.37644,-34.602335
-58.3766966667,-34.6026966667
-58.37644,-34.6028866667
-58.3769766667,-34.6034433333
-58.3778266667,-34.60344
-58.3788616667,-34.60359
-58.3796733333,-34.6036766667
-58.3814183333,-34.6031833333
-58.3814283333,-34.6031633333
-58.3812783333,-34.6033366667
-58.3814133333,-34.6031583333
-58.381435,-34.6032
-58.3815933333,-34.60316
-58.38194,-34.6035816667
-58.38197,-34.603735
-58.3823033333,-34.60369
-58.382105,-34.6041633333
-58.3820266667,-34.6048316667
-58.38201,-34.605445
-58.38201,-34.605445
-58.3817133333,-34.6071366667
-58.38206,-34.6077433333
-58.381905,-34.608375
-58.382005,-34.6091633333
-58.3823783333,-34.609165
-58.383215,-34.6089516667
-58.3848566667,-34.6092616667
-58.3855416667,-34.6095083333
-58.3858916667,-34.60951
-58.3861366667,-34.6092916667
-58.385565,-34.6090533333
-58.385565,-34.6090533333
-58.3848333333,-34.609815
-58.3834,-34.61001
-58.3834333333,-34.61048
-58.3834816667,-34.610545
-58.3834766667,-34.610555
-58.38341,-34.610565
-58.38341,-34.610565
-58.3832866667,-34.610785
-58.3834433333,-34.6105716667
-58.3834433333,-34.6105716667
-58.3834016667,-34.6106
-58.3834016667,-34.6106
-58.3834016667,-34.6106
-58.3834016667,-34.6106
-58.3834316667,-34.610515
-58.3838083333,-34.6102433333
-58.3837366667,-34.6106116667
-58.3834366667,-34.6105516667
-58.3834216667,-34.6104716667
-58.3832333333,-34.6109466667
-58.3827966667,-34.61237
-58.3834266667,-34.6104683333
-58.38385,-34.6091633333
-58.38385,-34.6091633333
-58.3836266667,-34.6099366667
-58.3836983333,-34.609665
-58.38355,-34.6102516667
-58.38352,-34.6103533333
-58.3835533333,-34.610285
-58.3837633333,-34.6098483333
-58.3832716667,-34.6109816667
-58.38308,-34.6115116667
-58.3831433333,-34.61133
-58.383535,-34.6102966667
-58.3835133333,-34.610395
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.383515,-34.6103983333
-58.3737016667,-34.5841666667
-58.3737016667,-34.5841666667
-58.3737016667,-34.5841666667
-58.3737016667,-34.5841666667
-58.3737016667,-34.5841666667
-58.3737016667,-34.5841666667
-58.3737016667,-34.5841666667
-58.3737016667,-34.5841666667
-58.3737016667,-34.5841666667
-58.3737016667,-34.5841666667
-58.37375,-34.5840966667
-58.37375,-34.5840966667
-58.373775,-34.5840316667
-58.3737683333,-34.5840233333
-58.37378,-34.5840533333
-58.3737816667,-34.5840716667
-58.3737416667,-34.5841083333
-58.3737416667,-34.5841083333
-58.3737416667,-34.5841083333
-58.3737416667,-34.5841083333
-58.3737416667,-34.5841083333
-58.3737416667,-34.5841083333
-58.3737416667,-34.5841083333
-58.3737416667,-34.5841083333
-58.3737416667,-34.5841083333
-58.3737416667,-34.5841083333
-58.3737416667,-34.5841083333
-58.3737416667,-34.5841083333
-58.373275,-34.5842183333
-58.3730233333,-34.583835
-58.3730233333,-34.583835
-58.3761233333,-34.57992
-58.3846716667,-34.5780966667
-58.38971,-34.5740266667
-58.395605,-34.5719466667
-58.3681333333,-34.5969483333
-58.3681333333,-34.5969483333
-58.3681333333,-34.5969483333
-58.3681333333,-34.5969483333
-58.3680516667,-34.5969316667
-58.3679883333,-34.59694
-58.36796,-34.5969033333
-58.3680083333,-34.5968966667
-58.3679883333,-34.5969933333
-58.3680983333,-34.59707
-58.3680983333,-34.59707
-58.3680216667,-34.5969366667
-58.3680416667,-34.59689
-58.36802,-34.5968916667
-58.3680416667,-34.5968933333
-58.3680416667,-34.5968933333
-58.3679983333,-34.596915
-58.3680383333,-34.5968533333
-58.3680783333,-34.59683
-58.3681,-34.5968466667
-58.368135,-34.596855
-58.3680866667,-34.5968333333
-58.3680266667,-34.59686
-58.3680283333,-34.5968083333
-58.3679966667,-34.5968183333
-58.3679316667,-34.5968183333
-58.3677716667,-34.5968383333
-58.367625,-34.5965316667
-58.366485,-34.5957683333
-58.3649616667,-34.59514
-58.3627516667,-34.5944583333
-58.3602616667,-34.593855
-58.3572166667,-34.5939083333
-58.3541716667,-34.594075
-58.3511466667,-34.5942883333
-58.3511466667,-34.5942883333
-58.3806083333,-34.6023966667
-58.3807133333,-34.6024033333
-58.3805,-34.6022933333
-58.3807533333,-34.6022033333
-58.3809566667,-34.60111
-58.380885,-34.600165
-58.3808583333,-34.60074
-58.3799683333,-34.6000316667
-58.379875,-34.60031
-58.379875,-34.60031
-58.3776616667,-34.6001116667
-58.37593,-34.6000233333
-58.374135,-34.599645
-58.3727516667,-34.59961
-58.37242,-34.59982
-58.3713766667,-34.5991983333
-58.371275,-34.5995666667
-58.371275,-34.5995666667
-58.372595,-34.6007183333
-58.3733966667,-34.6009
-58.373895,-34.60043
-58.3742466667,-34.5992816667
