"longitude","latitude","timestamp","satellites","HDOP"
-58.3849433333,-34.6087516667,1235398324,4,4.1
-58.3858183333,-34.60898,1235398383,4,4.6
-58.3867116667,-34.60904,1235398446,4,5
-58.3876233333,-34.60957,1235398504,4,5.4
-58.3881616667,-34.6095633333,1235398566,4,2.6
-58.38815,-34.6096283333,1235398626,5,3.9
-58.3889716667,-34.609175,1235398686,5,3.8
-58.3895,-34.609385,1235398746,5,3.7
-58.3903483333,-34.6097716667,1235398808,4,2.9
-58.3904716667,-34.6099333333,1235398867,4,3
-58.3914966667,-34.6092583333,1235398988,5,3.3
-58.3909916667,-34.6092466667,1235399047,5,3.2
-58.390525,-34.6092666667,1235399107,4,1.8
-58.3898283333,-34.6095933333,1235399166,7,1.3
-58.3894683333,-34.6096216667,1235399226,6,1.4
-58.389015,-34.6090916667,1235399347,5,1.9
-58.3863916667,-34.6088233333,1235399529,5,2
-58.3850633333,-34.6084016667,1235399650,4,1.9
-58.3869166667,-34.6043066667,1235403020,5,1.9
-58.3866583333,-34.6039383333,1235403080,6,1.8
-58.38912,-34.6041466667,1235403261,6,1.9
-58.3894,-34.6039733333,1235403321,6,1.9
-58.3865783333,-34.6017716667,1235403687,7,1.3
-58.3861766667,-34.601505,1235403746,7,1.3
-58.3849516667,-34.6017016667,1235403807,6,1.8
-58.3849966667,-34.6019483333,1235403873,7,1.3
-58.385015,-34.6024883333,1235403929,7,1.5
-58.3847633333,-34.60244,1235403989,7,1.3
-58.3845533333,-34.6018783333,1235404049,8,1.1
-58.3843483333,-34.6016283333,1235404118,7,1.3
-58.3841083333,-34.6018683333,1235404171,7,1.3
-58.3840616667,-34.601705,1235404235,6,1.8
-58.3840616667,-34.601705,1235404292,6,1.8
-58.38418,-34.6013166667,1235404351,8,1.1
-58.38431,-34.6010083333,1235404412,7,1.4
-58.3844033333,-34.6008866667,1235404472,6,1.8
-58.3841666667,-34.59943,1235404593,7,1.4
-58.38416,-34.599425,1235404652,7,1.4
-58.3840816667,-34.599245,1235404714,7,1.4
-58.3823,-34.5991833333,1235404954,8,1.2
-58.38234,-34.59922,1235405014,7,1.4
-58.381435,-34.599195,1235405081,7,1.4
-58.38112,-34.5991316667,1235405135,7,1.4
-58.3796733333,-34.5989633333,1235405255,7,2
-58.37946,-34.59915,1235405317,6,2.3
-58.3795433333,-34.5993016667,1235405377,6,1.7
-58.37933,-34.5992983333,1235405498,7,2.2
-58.3786583333,-34.5992483333,1235405561,8,1.3
-58.3782283333,-34.599155,1235405625,7,1.8
-58.3781783333,-34.5985166667,1235405680,6,2.3
-58.3779066667,-34.5986466667,1235405741,6,1.8
-58.3778466667,-34.5986716667,1235405803,4,2.6
-58.3778666667,-34.5992066667,1235405983,6,1.9
-58.3781416667,-34.5988,1235406045,5,3.5
-58.3776666667,-34.5986916667,1235406105,6,1.9
-58.3762566667,-34.59844,1235406591,7,1.5
-58.3755516667,-34.5988366667,1235406832,3,3.7
-58.3760283333,-34.598585,1235407561,3,2.5
-58.3754366667,-34.5986633333,1235407621,7,1.6
-58.3752483333,-34.5993516667,1235407683,7,1.7
-58.3754233333,-34.5998266667,1235407744,6,2.2
-58.3754233333,-34.5998266667,1235407804,6,2.2
-58.3752683333,-34.601015,1235407870,6,2.2
-58.375235,-34.6020133333,1235407984,7,1.7
-58.3752833333,-34.60286,1235408048,6,2.2
